class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,23.704587714530618,91.00398790597109,9,0.5407623,-0.35592347,2.1125772,22238.189053950304,1.2716049382716053,26.244057,4,7.158279E7,447.8844425049666
1,23.78147623652644,90.99112904420464,7,0.59102625,-0.4533788,1.0134473,46345.89153014256,-0.5061728395061724,23.86479,4,7.158279E7,137.1715100711011
1,23.290120750429764,91.29630812365407,11,0.6285899,-0.4292712,3.4340084,13712.675433449152,-0.049382716049382935,40.555973,7,11500.833,176.35714818770109
1,23.354189751751832,91.25538337992701,12,0.46866798,-0.2658119,2.2221117,21196.074093875737,0.5432098765432105,38.11518,4,24498.434,273.5621331824505
1,23.487101228823406,91.05808756904399,17,0.45740435,-0.34365162,4.4412255,10578.86010014017,2.296296296296296,32.39373,4,4279.6333,290.26455224889145
1,23.43202208741209,91.00516813800665,8,0.50943846,-0.36248016,2.0208673,23295.4747409356,-3.419753086419753,32.304222,4,11458.2,116.96397626140727
1,23.62044329869465,91.05079812617683,15,0.54271054,-0.37873223,2.2258167,21119.02759415061,2.6049382716049383,31.539568,4,13610.833,88.80573379945785
1,23.48379844750396,91.14448757188961,14,0.60782933,-0.42220584,0.0,0.0,-0.5802469135802468,35.636196,4,48.433334,34.09066994919868
1,23.313851833781303,91.27818062437481,9,0.48070487,-0.2566184,2.7403488,17188.19519824167,-0.8518518518518512,37.51305,4,15874.667,48.86422411140432
1,23.59575161758375,90.67327619227582,11,0.009109332,0.15003069,3.8397841,12232.173478699471,4.703703703703703,19.994913,4,10.833333,93.94296635348152
1,23.229166717035568,91.1518203496978,10,0.44579315,-0.23868653,1.8543341,25427.18363670016,1.1358024691358022,39.326515,4,7.158279E7,197.38849822079166
1,23.485303312058615,91.04213468811118,14,0.52489024,-0.37069762,2.1117682,22283.067828509396,1.8641975308641978,30.217476,4,5826.8335,106.70310901969408
1,23.624614731046655,90.72661810630753,9,0.35963103,-0.25143662,1.0122294,46456.208937632764,1.4444444444444446,21.907497,7,2.1666667,37.88968504353472
1,23.52159249960159,90.92489298508839,11,0.5766031,-0.41810176,0.92740995,50744.84128347856,1.7407407407407405,29.640965,4,5283.6333,149.22309619797142
1,23.085887132839936,91.19813446938844,9,0.3714138,-0.21575165,2.1103227,22363.82310765166,-0.48148148148148096,53.603474,4,7.158279E7,61.168987236104435
1,23.2048965447839,91.12559355622325,5,0.20093855,0.0016331453,1.8543341,25431.696863731016,-2.6049382716049383,38.074463,4,7.158279E7,6.959187201181158
1,23.571407100525256,91.04225456541843,11,0.4355303,-0.23842716,1.8543341,25363.020026844162,0.27160493827160437,29.751614,4,9382.434,127.06104295587261
